target_id	length	eff_length	est_counts	tpm
Caust.v2_010685-RA	1170	909.671	543	22.8246
Caust.v2_010690-RA	786	525.841	37.4616	2.72407
Caust.v2_010695-RA	2238	1977.67	1010	19.5279
Caust.v2_010683-RC	516	256.532	1807.33	269.391
Caust.v2_010686-RA	1767	1506.67	1450	36.7991
Caust.v2_010683-RB	699	438.954	16.8839	1.47076
Caust.v2_010687-RA	1341	1080.67	1110.01	39.2754
Caust.v2_010696-RA	2142	1881.67	751	15.261
Caust.v2_010692-RA	5019	4758.67	126.377	1.01548
Caust.v2_010683-RD	516	256.532	1807.33	269.391
Caust.v2_010682-RA	384	127.614	2563	767.96
Caust.v2_010689-RA	579	319.279	149	17.8445
Caust.v2_010691-RB	2748	2487.67	1063.27	16.3432
Caust.v2_010688-RA	1584	1323.67	845	24.4098
Caust.v2_017300-RA	402	144.53	16	4.23302
Caust.v2_003773-RA	270	43.8413	0	0
Caust.v2_003739-RH	2496	2235.67	0	0
Caust.v2_003769-RA	1032	771.671	181	8.96879
Caust.v2_003739-RB	675	415.024	572.561	52.7516
Caust.v2_003718-RA	210	28.4354	39	52.4436
Caust.v2_003711-RA	615	355.141	1757	189.172
Caust.v2_003796-RA	5619	5358.67	417.456	2.9788
Caust.v2_003730-RA	639	379.096	0	0
Caust.v2_003745-RA	1062	801.671	37	1.76479
Caust.v2_003739-RD	675	415.024	572.561	52.7516
Caust.v2_003739-RF	1551	1290.67	0	0
Caust.v2_003729-RA	1185	924.671	0	0
Caust.v2_003739-RE	1260	999.671	254.967	9.75248
Caust.v2_003742-RA	348	95.5202	122	48.8373
Caust.v2_003741-RA	303	61.9076	100	61.7651
Caust.v2_003743-RA	1581	1320.67	549	15.8952
Caust.v2_003720-RA	309	65.9154	3	1.74029
Caust.v2_003703-RA	324	76.5121	13.5603	6.77682
Caust.v2_003735-RA	4494	4233.67	1	0.00903171
Caust.v2_003791-RA	3636	3375.67	1	0.0113273
Caust.v2_003739-RI	2496	2235.67	0	0
Caust.v2_003739-RJ	2496	2235.67	0	0
Caust.v2_003724-RA	4311	4050.67	235	2.21834
Caust.v2_003778-RA	753	492.851	252.75	19.6093
Caust.v2_003801-RB	1278	1017.67	240.5	9.03639
Caust.v2_003725-RA	8742	8481.67	1	0.00450823
Caust.v2_003703-RB	324	76.5121	13.5603	6.77682
Caust.v2_003759-RA	756	495.841	415.5	32.0417
Caust.v2_003739-RG	2079	1818.67	34.6317	0.728126
Caust.v2_003786-RC	1557	1296.67	743.667	21.9299
Caust.v2_003784-RA	1314	1053.67	2.1314	0.0773476
Caust.v2_003703-RD	324	76.5121	13.5603	6.77682
Caust.v2_003800-RA	1230	969.671	16	0.630932
Caust.v2_003778-RD	753	492.851	252.75	19.6093
Caust.v2_003757-RA	309	65.9154	17	9.86163
Caust.v2_003774-RA	663	403.032	43	4.07958
Caust.v2_003762-RA	4761	4500.67	663.56	5.63755
Caust.v2_003768-RA	405	147.388	11839	3071.42
Caust.v2_003762-RB	4449	4188.67	593.44	5.41736
Caust.v2_003733-RA	7665	7404.67	4	0.0206558
Caust.v2_003801-RA	1278	1017.67	240.5	9.03639
Caust.v2_003721-RA	6063	5802.67	610	4.01966
Caust.v2_003714-RA	723	462.89	0	0
Caust.v2_003767-RA	738	477.871	74	5.92118
Caust.v2_003703-RC	945	684.699	705.319	39.3888
Caust.v2_003788-RA	1620	1359.67	135	3.79653
Caust.v2_003778-RB	753	492.851	252.75	19.6093
Caust.v2_003761-RA	1110	849.671	21.3333	0.960053
Caust.v2_003786-RA	1557	1296.67	743.667	21.9299
Caust.v2_003785-RA	3222	2961.67	1133.87	14.6391
Caust.v2_003758-RA	408	150.266	1251	318.335
Caust.v2_003787-RA	1875	1614.67	868	20.5553
Caust.v2_003710-RA	1428	1167.67	1754	57.4376
Caust.v2_003786-RB	1557	1296.67	743.667	21.9299
Caust.v2_003740-RA	258	38.852	20	19.6836
Caust.v2_003790-RA	2010	1749.67	633	13.8336
Caust.v2_003789-RA	630	370.119	158	16.3231
Caust.v2_003707-RA	231	31.4942	49	59.4911
Caust.v2_003722-RA	1938	1677.67	1547	35.2591
Caust.v2_003736-RA	366	111.193	2	0.687763
Caust.v2_003739-RK	2046	1785.67	391.156	8.37599
Caust.v2_003778-RC	753	492.851	252.75	19.6093
Caust.v2_003771-RA	267	42.5478	4741	4260.69
